33.78625	-84.37849	1753.643	1257.339
33.7993	-84.39487	-72.4	3007.45
33.76826	-84.39678	-282.0303	-1151.75
33.76784	-84.4124	-2024.286	-1210.018
33.78984	-84.39497	-83.00001	1739.875
33.75965	-84.37107	2579.5	-2306.75
33.77832	-84.38364	1179.625	194.9376
33.79175	-84.36841	2877.2	1995.65
33.74409	-84.36572	3176	-4391.375
33.75688	-84.37025	2671	-2678.25
33.79745	-84.36906	2803.75	2760
33.79821	-84.41074	-1840.167	2861.896
33.75778	-84.36725	3006	-2557.25
33.7896	-84.3961	-207.8333	1707.875
33.77554	-84.37707	1910.572	-176.5357
33.7773	-84.37743	1872	58.3125
33.75531	-84.41298	-2088.4	-2889.25
33.79295	-84.40557	-1262.5	2157.167
33.79688	-84.41251	-2037.167	2683.333
33.76931	-84.3917	281.7901	-1010.738
33.76836	-84.3681	2911	-1139.25
33.74928	-84.36624	3118	-3696.75
33.78222	-84.39935	-570.4001	716.95
33.77559	-84.37312	2349.6	-170.3
33.78096	-84.38025	1557.75	548.875
33.79771	-84.3688	2832.75	2794.063
33.77554	-84.37909	1686.083	-178.1667
33.79424	-84.40054	-703.6667	2328.417
33.7638	-84.38244	1313.25	-1750.813
33.76822	-84.37259	2410.75	-1158.625
33.78649	-84.36996	2702.834	1289.833
33.77456	-84.38124	1446.857	-309.1607
33.74703	-84.36724	3006.5	-3998.375
33.76194	-84.36759	2966.667	-1999.875
33.78694	-84.39545	-136.25	1350.25
33.75938	-84.40907	-1653	-2343.625
33.75892	-84.40869	-1611.5	-2405.063
33.76697	-84.37067	2624	-1325.75
33.7772	-84.37916	1679.5	45.125
33.75959	-84.36668	3069	-2315.75
33.76974	-84.37062	2629.143	-955.8036
33.7647	-84.37141	2541	-1630.875
33.74336	-84.39635	-237.5	-4489.95
33.75451	-84.36778	2946.429	-2996.786
33.77605	-84.38076	1500.667	-108.375
33.74574	-84.40554	-1260.25	-4171.781
33.77747	-84.37912	1682.75	80.8125
33.79907	-84.39884	-513.9231	2976.154
